res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
800x600@75_DMT,Null,DMT0875,DMT0875,1,0,0,10/04/93,0B,454F,Null,0,Null,Null,1056,800,16,80,+,prog,75,625,600,1,3,+,49.5,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
800x600@85_CVT,Null,*CVT0885,CVT0885,1,0,0,Null,Null,Null,Null,0,Null,Null,1056,800,48,80,-,prog,84.9,633,600,3,4,+,56.75,|,x,x,x,x,x,x,,,,,,,,
800x600@85_DMT,Null,DMT0885,DMT0885,1,0,0,03/01/96,0C,4559,Null,0,Null,Null,1048,800,32,64,+,prog,85.06,631,600,1,3,+,56.2499,|,x,x,x,x,x,x,,x,x,x,x,x,,
800x600@120_CVR,Null,*CVR0812,CVR0812,1,2,1,2005/1/7,0D,Null,Null,0,Null,Null,960,800,48,32,+,prog,119.97,636,600,3,4,-,73.2499,|,x,x,x,x,x,x,,,,,,,,
832x624@75_APP,Null,APP0875,APP0875,1,0,0,Null,Null,Null,Null,0,Null,Null,1120,832,32,96,-,prog,75.09,654,624,3,3,-,54.9999,|,x,x,x,x,x,x,,,,,,,,
848x480@50_CVT,Null,*CVT0850H,CVT0850H,1,0,0,Null,Null,Null,Null,0,Null,Null,1056,848,24,80,-,prog,49.54,497,480,3,5,+,26,|,x,x,x,x,x,x,,,,,,,,
848x480@60_CVR,Null,*CVR0860H,CVR0860H,1,0,0,Null,Null,Null,Null,0,Null,Null,1008,848,48,32,+,prog,59.75,494,480,3,5,-,29.75,|,x,x,x,x,x,x,,,,,,,,
848x480@60_CVT,Null,*CVT0860H,CVT0860H,1,0,0,Null,Null,Null,Null,0,Null,Null,1056,848,24,80,-,prog,59.66,500,480,3,5,+,31.5,|,x,x,x,x,x,x,,,,,,,,
848x480@60_DMT,Null,DMT0860H,DMT0860H,1,0,0,08/21/03,0E,Null,Null,0,Null,Null,1088,848,16,112,+,prog,60,517,480,6,8,+,33.7497,|,x,x,x,x,x,x,,x,x,x,x,x,,
848x480@75_CVT,Null,*CVT0875H,CVT0875H,1,0,0,Null,Null,Null,Null,0,Null,Null,1088,848,40,80,-,prog,74.77,504,480,3,5,+,33.7498,|,x,x,x,x,x,x,,x,x,x,x,x,,
848x480@85_CVT,Null,*CVT0885H,CVT0885H,1,0,0,Null,Null,Null,Null,0,Null,Null,1088,848,40,80,-,prog,84.75,507,480,3,5,+,46.75,|,x,x,x,x,x,x,,x,x,x,x,x,,
852x480@60,Null,852x480_60Hz,852x480,1,0,0,Null,Null,Null,Null,0,Null,Null,1072,852,16,96,-,prog,59.97,529,480,10,2,-,34.0102,|,x,x,x,x,x,x,,,,,,,,
960x576i@25,Null,*576iWH,576iWH,1,0,0,Null,Null,Null,Null,0,Null,Null,1152,960,16,84,-,int,100,312,576,2,3,-,18,|,x,x,x,x,x,x,,,,,,,,
960x576i@50,960x288,*576i50WH,576i50WH,1,0,0,Null,Null,Null,Null,0,Null,Null,1152,960,16,84,-,int,100,312,576,2,3,-,36,|,x,x,x,x,x,x,,,,,,,,
960x576p@50,Null,*576pWH,576pWH,1,0,0,Null,Null,Null,Null,0,Null,Null,1152,960,16,84,-,prog,50,625,576,5,5,-,36,|,x,x,x,x,x,x,,,,,,,,
960x600@50_CVT,Null,*CVT0950D,CVT0950D,1,0,0,Null,Null,Null,Null,0,Null,Null,1200,960,24,96,-,prog,49.65,621,600,3,6,+,37,|,x,x,x,x,x,x,,,,,,,,
